"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessName","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"chrome","27","163","2259498594304","16306176","6832128","12640","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=utility --utility-sub-type=data_decoder.mojom.DataDecoderService --lang=en-US --service-sandbox-type=service --mojo-platform-channel-handle=3984 --field-trial-handle=1608,i,9964613012528853667,18051930906257356577,131072 /prefetch:8","System.Diagnostics.Process (chrome)","Google LLC","0.015625","100.0.4896.60","100.0.4896.60","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","11156","8",,"False","02/04/2022 07:42:41",,"11816",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","12640","12640","6832128","6832128","505872","505872","7004160","7004160","16347136","16347136","2259506982912","354185216","True","Normal","6832128","6832128","chrome","4095","27",,"System.Diagnostics.ProcessThreadCollection","163","2259498594304","345796608","False",,,,"16306176","16306176",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.0156250","00:00:00.0156250","00:00:00","0","","True",,
"chrome","27","296","2255286116352","33157120","12738560","20376","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --mojo-platform-channel-handle=1884 --field-trial-handle=1608,i,9964613012528853667,18051930906257356577,131072 /prefetch:8","System.Diagnostics.Process (chrome)","Google LLC","1.25","100.0.4896.60","100.0.4896.60","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6876","8",,"False","02/04/2022 06:53:09",,"13420",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","20376","20376","12738560","12738560","567576","567576","14225408","14225408","33648640","33648640","2255336316928","478486528","True","Normal","12738560","12738560","chrome","4095","27",,"System.Diagnostics.ProcessThreadCollection","296","2255286116352","428285952","False",,,,"33157120","33157120",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.7656250","00:00:01.2500000","00:00:00.4843750","0","","True",,
"chrome","27","255","2264017100800","63758336","76300288","15696","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --extension-process --display-capture-permissions-policy-allowed --lang=en-US --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=5 --launch-time-ticks=855776261403 --mojo-platform-channel-handle=3572 --field-trial-handle=1608,i,9964613012528853667,18051930906257356577,131072 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","7.78125","100.0.4896.60","100.0.4896.60","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4180","8",,"False","02/04/2022 06:53:09",,"18152",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","15696","15696","76300288","76300288","514360","514360","200220672","200220672","235778048","235778048","2264100986880","653221888","True","Normal","76300288","76300288","chrome","4095","27",,"System.Diagnostics.ProcessThreadCollection","255","2264017100800","569335808","False",,,,"63758336","63758336",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:01.0156250","00:00:07.7812500","00:00:06.7656250","0","","True",,
"chrome","27","199","2255219388416","16506880","7229440","13728","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=utility --mojo-platform-channel-handle=2028 --field-trial-handle=1608,i,9964613012528853667,18051930906257356577,131072 /prefetch:8","System.Diagnostics.Process (chrome)","Google LLC","0.125","100.0.4896.60","100.0.4896.60","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5360","8",,"False","02/04/2022 06:53:09",,"23396",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","13728","13728","7229440","7229440","515344","515344","7323648","7323648","17960960","17960960","2255227777024","369946624","True","Normal","7229440","7229440","chrome","4095","27",,"System.Diagnostics.ProcessThreadCollection","199","2255219388416","361558016","False",,,,"16506880","16506880",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.0937500","00:00:00.1250000","00:00:00.0312500","0","","True",,
"chrome","27","604","2255677911040","86179840","81059840","25144","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=gpu-process --gpu-preferences=UAAAAAAAAADgAAAYAAAAAAAAAAAAAAAAAABgAAAAAAAwAAAAAAAAAAAAAAAgAAAAAAAAAAAAAAAAAAAAAAAAAEgAAAAAAAAASAAAAAAAAAAYAAAAAgAAABAAAAAAAAAAGAAAAAAAAAAQAAAAAAAAAAAAAAAOAAAAEAAAAAAAAAABAAAADgAAAAgAAAAAAAAACAAAAAAAAAA= --mojo-platform-channel-handle=1644 --field-trial-handle=1608,i,9964613012528853667,18051930906257356577,131072 /prefetch:2","System.Diagnostics.Process (chrome)","Google LLC","1.734375","100.0.4896.60","100.0.4896.60","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6048","10",,"False","02/04/2022 06:53:09",,"27852",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","25144","25144","81059840","81059840","1018960","1018960","126124032","126124032","139763712","139763712","2255726358528","868528128","True","AboveNormal","81059840","81059840","chrome","4095","27",,"System.Diagnostics.ProcessThreadCollection","604","2255677911040","820080640","False",,,,"86179840","86179840",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.3593750","00:00:01.7343750","00:00:01.3750000","0","","True",,
"chrome","27","1223","2255611756544","185819136","152604672","48856","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --profile-directory=""Profile 1""","System.Diagnostics.Process (explorer)","Google LLC","21.4375","100.0.4896.60","100.0.4896.60","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","10496","8",,"False","02/04/2022 06:53:08",,"28752",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","48856","48856","152604672","152604672","1009960","1009960","355147776","355147776","394657792","394657792","2255857385472","999555072","True","Normal","152604672","152604672","chrome","4095","27",,"System.Diagnostics.ProcessThreadCollection","1223","2255611756544","753926144","False",,,,"185819136","185819136",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:11.2968750","00:00:21.4375000","00:00:10.1406250","67070","start excel from cmd - Google Search - Google Chrome","True",,
"CNMNSST2","27","226","94134272","12234752","3440640","18544","C:\Program Files (x86)\Canon\IJ Network Scanner Selector EX2\CNMNSST2.exe","""C:\Program Files (x86)\Canon\IJ Network Scanner Selector EX2\CNMNSST2.exe"" /FORCE",,"CANON INC.","1.84375","2.0.5.321","2.0.5.321","Canon IJ Network Scanner Selector EX2","Canon IJ Network Scanner Selector EX2 for Microsoft Windows","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","10824","8",,"False","02/04/2022 06:52:53",,"15892",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","18544","18544","3440640","3440640","170976","170976","4292608","4292608","12894208","12894208","107765760","107765760","True","Normal","3440640","3440640","CNMNSST2","4095","27",,"System.Diagnostics.ProcessThreadCollection","226","94134272","94134272","False",,,,"12234752","12234752",,"System.Diagnostics.ProcessModule (CNMNSST2.exe)","00:00:01.2343750","00:00:01.8437500","00:00:00.6093750","0","","True",,
"Code","27","211","2242296983552","74665984","19230720","12552","C:\Users\nasa_unicodata\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\nasa_unicodata\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --ms-enable-electron-run-as-node ""c:\Users\nasa_unicodata\AppData\Local\Programs\Microsoft VS Code\resources\app\extensions\json-language-features\server\dist\node\jsonServerMain"" --node-ipc --clientProcessId=17336","System.Diagnostics.Process (Code)","Microsoft Corporation","0.28125","1.65.2","1.65.2","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","9232","8",,"False","02/04/2022 06:54:27",,"5304",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","12552","12552","19230720","19230720","456448","456448","22450176","22450176","82247680","82247680","2246617116672","349220864","True","Normal","19230720","19230720","Code","4095","27",,"System.Diagnostics.ProcessThreadCollection","211","2242296983552","324055040","False",,,,"74665984","74665984",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:00.0625000","00:00:00.2812500","00:00:00.2187500","0","","True",,
"Code","27","303","2244501991424","121188352","121851904","17416","C:\Users\nasa_unicodata\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\nasa_unicodata\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --ms-enable-electron-run-as-node --inspect-port=0 ""c:\Users\nasa_unicodata\AppData\Local\Programs\Microsoft VS Code\resources\app\out\bootstrap-fork"" --type=extensionHost --skipWorkspaceStorageLock","System.Diagnostics.Process (Code)","Microsoft Corporation","8.828125","1.65.2","1.65.2","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7828","8",,"False","02/04/2022 06:53:04",,"6504",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","17416","17416","121851904","121851904","472144","472144","170233856","170233856","206979072","206979072","2246617116672","349220864","True","Normal","121851904","121851904","Code","4095","27",,"System.Diagnostics.ProcessThreadCollection","303","2244501991424","-1765904384","False",,,,"121188352","121188352",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:01.2968750","00:00:08.8281250","00:00:07.5312500","0","","True",,
"Code","27","285","2237986566144","25300992","9908224","12416","C:\Users\nasa_unicodata\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\nasa_unicodata\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=crashpad-handler --user-data-dir=C:\Users\nasa_unicodata\AppData\Roaming\Code /prefetch:7 --no-rate-limit --monitor-self-annotation=ptype=crashpad-handler --database=C:\Users\nasa_unicodata\AppData\Roaming\Code\Crashpad --url=appcenter://code?aid=a4e3233c-699c-46ec-b4f4-9c2a77254662&uid=5bbdfef3-6180-49aa-afcf-62480ab3d8f6&iid=5bbdfef3-6180-49aa-afcf-62480ab3d8f6&sid=5bbdfef3-6180-49aa-afcf-62480ab3d8f6 --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.65.2 --annotation=prod=Electron --annotation=ver=13.5.2 --initial-client-data=0x3d4,0x3d8,0x3dc,0x3d0,0x3a4,0x7ff76f484080,0x7ff76f484090,0x7ff76f4840a0","System.Diagnostics.Process (Code)","Microsoft Corporation","0.09375","1.65.2","1.65.2","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2996","8",,"False","02/04/2022 06:52:57",,"6540",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","12416","12416","9908224","9908224","432016","432016","10014720","10014720","26472448","26472448","2238010396672","332435456","True","Normal","9908224","9908224","Code","4095","27",,"System.Diagnostics.ProcessThreadCollection","285","2237986566144","308604928","False",,,,"25300992","25300992",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:00.0625000","00:00:00.0937500","00:00:00.0312500","0","","True",,
"Code","27","413","2246819872768","100724736","60776448","22080","C:\Users\nasa_unicodata\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\nasa_unicodata\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=renderer --disable-color-correct-rendering --field-trial-handle=1168,6629904990641316766,6018650969472684097,131072 --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand --lang=en-US --user-data-dir=""C:\Users\nasa_unicodata\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --app-user-model-id=Microsoft.VisualStudioCode --app-path=""C:\Users\nasa_unicodata\AppData\Local\Programs\Microsoft VS Code\resources\app"" --no-sandbox --no-zygote --node-integration-in-worker --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=17 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=3624 /prefetch:1 --vscode-window-config=vscode:e1a8550a-4b5b-461f-be4a-15c168b79b3e --vscode-window-kind=shared-process","System.Diagnostics.Process (Code)","Microsoft Corporation","53.484375","1.65.2","1.65.2","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","10696","8",,"False","02/04/2022 06:53:03",,"6552",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","22080","22080","60776448","60776448","476408","476408","155406336","155406336","199933952","199933952","2251114315776","551452672","True","Normal","60776448","60776448","Code","4095","27",,"System.Diagnostics.ProcessThreadCollection","413","2246819872768","551976960","False",,,,"100724736","100724736",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:13.0468750","00:00:53.4843750","00:00:40.4375000","0","","True",,
"Code","27","569","2257681219584","250175488","200056832","29416","C:\Users\nasa_unicodata\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\nasa_unicodata\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=renderer --disable-color-correct-rendering --field-trial-handle=1168,6629904990641316766,6018650969472684097,131072 --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand --lang=en-US --user-data-dir=""C:\Users\nasa_unicodata\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --app-user-model-id=Microsoft.VisualStudioCode --app-path=""C:\Users\nasa_unicodata\AppData\Local\Programs\Microsoft VS Code\resources\app"" --no-sandbox --no-zygote --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=20 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=3652 /prefetch:1 --vscode-window-config=vscode:45afc324-aeb7-41d5-8b36-5a34d42e7d76","System.Diagnostics.Process (Code)","Microsoft Corporation","195.34375","1.65.2","1.65.2","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6308","8",,"False","02/04/2022 06:54:22",,"14132",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","29416","29416","200056832","200056832","680824","680824","204484608","204484608","256045056","256045056","2257696948224","-1455849472","True","Normal","200056832","200056832","Code","4095","27",,"System.Diagnostics.ProcessThreadCollection","569","2257681219584","-1471578112","False",,,,"250175488","250175488",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:38.8906250","00:03:15.3437500","00:02:36.4531250","0","","True",,
"Code","27","714","2238719094784","382124032","288006144","30632","C:\Users\nasa_unicodata\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\nasa_unicodata\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=gpu-process --field-trial-handle=1168,6629904990641316766,6018650969472684097,131072 --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand --disable-color-correct-rendering --user-data-dir=""C:\Users\nasa_unicodata\AppData\Roaming\Code"" --gpu-preferences=SAAAAAAAAADgAAAwAAAAAAAAAAAAAAAAAABgAAAAAAAoAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAB4AAAAAAAAAHgAAAAAAAAAKAAAAAQAAAAgAAAAAAAAACgAAAAAAAAAMAAAAAAAAAA4AAAAAAAAABAAAAAAAAAAAAAAAAUAAAAQAAAAAAAAAAAAAAAGAAAAEAAAAAAAAAABAAAABQAAABAAAAAAAAAAAQAAAAYAAAAIAAAAAAAAAAgAAAAAAAAA --mojo-platform-channel-handle=4720 /prefetch:2","System.Diagnostics.Process (Code)","Microsoft Corporation","40.34375","1.65.2","1.65.2","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","9436","10",,"False","02/04/2022 06:58:50",,"16168",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","30632","30632","288006144","288006144","1071360","1071360","328851456","328851456","421744640","421744640","2238744723456","1066762240","True","AboveNormal","288006144","288006144","Code","4095","27",,"System.Diagnostics.ProcessThreadCollection","714","2238719094784","1041133568","False",,,,"382124032","382124032",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:09.1718750","00:00:40.3437500","00:00:31.1718750","0","","True",,
